cal_date,hub_name,dest_hub_id,dest_hub_region,shipper_group,first_deli_ontime_rate,deli_succcess_ontime_day1_rate,deli_succcess_ontime_day2_rate,lm_orders
2021-08-14,NGA - Cua Lo - NOR - SUB 2,1187,North,Tiki Marketplace,1.0,1.0,1.0,2
2021-08-14,PTH - Tam Nong - NOR - SUB 2,1224,North,DS,1.0,0.75,1.0,4
2021-08-14,PTH - Tam Nong - NOR - SUB 2,1224,North,EN,1.0,1.0,1.0,5
2021-08-14,PTH - Tam Nong - NOR - SUB 2,1224,North,ES,1.0,1.0,1.0,2
2021-08-14,PTH - Tam Nong - NOR - SUB 2,1224,North,Lazada Master Account (ASC),1.0,0.9117647058823529,1.0,34
2021-08-14,PTH - Tam Nong - NOR - SUB 2,1224,North,Others,1.0,1.0,1.0,4
2021-08-14,PTH - Tam Nong - NOR - SUB 2,1224,North,Shopee Vietnam,1.0,0.9342105263157895,1.0,76
2021-08-14,PTH - Tam Nong - NOR - SUB 2,1224,North,Tiki,1.0,1.0,1.0,12
2021-08-14,PTH - Tam Nong - NOR - SUB 2,1224,North,Tiki Marketplace,1.0,0.875,1.0,16
2021-08-14,SOL - Moc Chau - NOR - SUB 2,423,North,DS,1.0,0.8,0.8,5
2021-08-14,SOL - Moc Chau - NOR - SUB 2,423,North,EN,1.0,1.0,1.0,10
2021-08-14,SOL - Moc Chau - NOR - SUB 2,423,North,Lazada Master Account (ASC),1.0,0.7352941176470589,0.9117647058823529,34
2021-08-14,SOL - Moc Chau - NOR - SUB 2,423,North,Others,1.0,1.0,1.0,1
2021-08-14,SOL - Moc Chau - NOR - SUB 2,423,North,Shopee Vietnam,1.0,0.9833333333333333,1.0,60
2021-08-14,SOL - Moc Chau - NOR - SUB 2,423,North,Tiki Marketplace,1.0,0.5,0.5,2
2021-08-14,THH - Thanh Hoa - NOR,141,North,DS,0.9545454545454546,0.5,0.7,22
2021-08-14,THH - Thanh Hoa - NOR,141,North,EN,1.0,0.8571428571428571,0.9523809523809523,21
2021-08-14,THH - Thanh Hoa - NOR,141,North,ES,1.0,1.0,1.0,2
2021-08-14,THH - Thanh Hoa - NOR,141,North,Lazada Master Account (ASC),1.0,0.92,0.9646464646464646,200
2021-08-14,THH - Thanh Hoa - NOR,141,North,Others,0.6666666666666666,0.5,1.0,6
2021-08-14,THH - Thanh Hoa - NOR,141,North,Shopee Vietnam,0.9642857142857143,0.8107142857142857,0.9563636363636364,280
2021-08-14,THH - Thanh Hoa - NOR,141,North,Tiki,1.0,1.0,1.0,1
2021-08-14,THH - Thanh Hoa - NOR,141,North,Tiki Marketplace,1.0,1.0,1.0,2
2021-08-13,DAK - Buon Ho - SOU - SUB 2,377,South,DS,1.0,0.6666666666666666,0.6666666666666666,9
2021-08-13,DAK - Buon Ho - SOU - SUB 2,377,South,EN,1.0,1.0,1.0,2
