cal_date,shipper_group,hub_name,avg_pending_time_dest_hub,avg_delivery_attempts,total_orders,rts_orders,rts_rate
2/4/2021,Shopee,HCM - Phu Nhuan - SOU - DP,43.72222222,1.120945946,2960,90,0.030405405
2/5/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,197.7256637,1.61845218,2959,791,0.267320041
1/29/2021,Shopee,HCM - Go Vap A - SOU - DP,78.35365854,1.159905341,2958,82,0.027721433
1/27/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,53.84883721,1.243463497,2945,86,0.029202037
6/16/2021,Shopee,HCM - Phu Nhuan - SOU - DP,56.2195122,1.094121645,2943,41,0.013931363
4/6/2021,Shopee,HCM - District 10 - SOU - DP,53.65714286,1.144804089,2935,35,0.011925043
4/22/2021,Shopee,HCM - District 10 - SOU - DP,50.07692308,1.166837607,2925,91,0.031111111
1/28/2021,Shopee,HCM - Go Vap A - SOU - DP,54.15294118,1.161921098,2915,85,0.02915952
6/11/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,63.24242424,1.260720412,2915,66,0.022641509
2/1/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,90.1452514,1.269972452,2904,179,0.061639118
1/13/2021,Shopee,HCM - Binh Thanh 1 - SOU - DP,46.49253731,1.213669313,2897,67,0.023127373
6/17/2021,Shopee,HCM - District 10 - SOU - DP,61.51515152,1.139688042,2885,66,0.02287695
