Address City,Address Country,Area,Consol Hub,Country,Creation Datetime,Facility Type,Hub Sector,ID,Is Deleted,Is Delivery Hub,Last Mile Cutoff,Latitude,Longitude,Name,Parent Hub ID,Province Code,Region,Short Name,System ID,Sort Hub Flag,Virtual Hub Flag,Parent Hub Name,Sla Region,Created Month
Bac Ninh,VN,sub1,,vn,2017-10-20T14:14:41Z,STATION,DBSH,169,0,0,12:00,1.0,1.0,BN - Holding - Covid,,BN,North,Bắc Ninh,vn,0,0,,North,2017-10
Ho Chi Minh,VN,metro,,vn,2017-10-24T19:46:27Z,OTHERS,Others,187,1,0,12:00,10.765586,106.582483,Test,,Tes,HCM,Test,vn,0,0,,HCM,2017-10
Hồ Chí Minh,VN,metro,,vn,2017-10-24T19:50:21Z,STATION,HCM,199,0,1,12:00,10.788517,106.632424,HCM - Tan Phu 1 - SOU - DP,,HCM,HCM,Hồ Chí Minh,vn,0,0,,HCM,2017-10
Quảng Nam,VN,metro,,vn,2017-10-30T13:40:37Z,STATION,MTTN,213,0,1,12:00,15.561002,108.449837,QUA - Tam Ky - SOU,,QUA,South,Quảng Nam,vn,0,0,,Central,2017-10
Ha Noi,VN,metro,,vn,2020-08-04T14:04:42Z,STATION,HN,1209,0,,12:00,21.048237,105.794581,HN - Cau Giay 2 - NOR - DP,,HN,HN,Hà Nội,vn,0,0,,HN,2020-08
Hn,VN,metro,,vn,2020-08-01T17:41:29Z,DP,HN,1207,1,,12:00,21.0230404,105.8613266,HN - Hoan Kiem - NOR - DP,,HN,HN,Hà Nội,vn,0,0,,HN,2020-08
Hồ Chí Minh,VN,sub2,,vn,2020-08-06T16:09:50Z,STATION,HCM,1210,0,,12:00,10.65845,106.727817,HCM - Nha Be - SOU - DP,,HCM,HCM,Hồ Chí Minh,vn,0,0,,HCM,2020-08
Hn,VN,sub2,,vn,2020-08-31T09:43:51Z,STATION,HN,1214,0,,12:00,21.173646,105.731464,HN - Me Linh - NOR - SUB 2 - DP,,HN,HN,Hà Nội,vn,0,0,,HN,2020-08
Hn,VN,metro,,vn,2020-08-28T09:23:28Z,STATION,HN,1211,0,,12:00,20.960171,105.818478,HN - Hoang Mai 2 - NOR - DP,,HN,HN,Hà Nội,vn,0,0,,HN,2020-08
Binh Dinh,VN,sub3,,vn,2019-05-23T18:10:09Z,STATION,MTTN,984,0,1,12:00,14.595825,108.896515,BID - An Lao - SOU - SUB 2,,BID,South,Bình Định,vn,0,0,,South,2019-05
Khanh Hoa,VN,sub2,,vn,2019-05-23T18:11:54Z,STATION,MTTN,987,0,1,12:00,12.700198,109.22873,KHH - Van Ninh - SOU - SUB 2,,KHH,South,Khánh Hòa,vn,0,0,,South,2019-05
RECOVERY,VN,,,vn,2019-07-17T10:31:53Z,CROSSDOCK,Others,1000,0,,12:00,1.0,1.0,RECOVERY,,REC,HCM,RECOVERY,vn,0,0,,HCM,2019-07
