hub_id,hub_name,hub_region,province_code,hub_sector,area,created_month
299,QUB - Quang Binh - NOR,North,QUB,BTB,Non-Metro,2018-01
1237,TG - Cho Gao - SOU - SUB 2,South,TG,MT,Non-Metro,2020-11
1230,HN - Dong Da 2 - NOR - DP,HN,HN,HN,Metro,2020-11
1228,CAM - U Minh - SOU - SUB 2,South,CAM,MT,Non-Metro,2020-11
1233,HCM - Go Vap B - SOU - DP,HCM,HCM,HCM,Metro,2020-11
1232,HN - Hai Ba Trung 2 - NOR - DP,HN,HN,HN,Metro,2020-11
1234,Share Liability Bag:HCM WH +Truck - DP,HCM,Sha,Others,Metro,2020-11
1235,HCM - District 3 - SOU - DP,HCM,HCM,HCM,Metro,2020-11
1231,HN - Thanh Xuan 2 - NOR - DP,HN,HN,HN,Metro,2020-11
1103,SOL - Van Ho - NOR - SUB 2,North,SOL,NMM,Non-Metro,2019-11
1111,North Holding Covid,North,Nor,Others,Non-Metro,2019-11
1112,OVERCAP - CE,HCM,OVE,Others,Metro,2019-11
1105,YEB - Tran Yen - NOR - SUB 2,North,YEB,NMM,Non-Metro,2019-11
1106,NGA - Yen Thanh - NOR - SUB 2,North,NGA,BTB,Non-Metro,2019-11
1107,NGA - Quy Hop - NOR - SUB 2,North,NGA,BTB,Non-Metro,2019-11
1104,YEB - Tram Tau - NOR - SUB 2,North,YEB,NMM,Non-Metro,2019-11
100,NAD - Nam Dinh - NOR,North,NAD,DBSH,Non-Metro,2017-08
108,THN - Thai Nguyen - NOR,North,THN,NMM,Non-Metro,2017-08
104,BAG - Bac Giang - NOR,North,BAG,NMM,Non-Metro,2017-08
1192,QUN - Co To Van Don - NOR - SUB 2,North,QUN,DBSH,Non-Metro,2020-06
1193,DN - Cam My - SOU - SUB 2,South,DN,DNB,Non-Metro,2020-06
1187,NGA - Cua Lo - NOR - SUB 2,North,NGA,BTB,Non-Metro,2020-06
1240,HCM - Binh Thanh 2 - SOU - DP,HCM,HCM,HCM,Metro,2020-12
1238,DNG - NHS - SOU - DP,South,DNG,MTTN,Non-Metro,2020-12
1239,HCM - Tan Binh 2 - SOU - DP,HCM,HCM,HCM,Metro,2020-12
1241,TAN - Duong Minh Chau - SOU - SUB 2,South,TAN,DNB,Non-Metro,2020-12
1260,LAD - Da Lat 2 - SOU - DP,South,LAD,MTTN,Non-Metro,2021-03
1258,HCM - PUDO - Go Vap - SOU,HCM,HCM,HCM,Metro,2021-03
1268,Freight Inhouse - Tay Nguyen,South,Fre,Others,Non-Metro,2021-03
1272,KIG - Tan Hiep - SOU - SUB 2,South,KIG,MT,Non-Metro,2021-03
1271,KIG - An Bien - SOU - SUB 2,South,KIG,MT,Non-Metro,2021-03
1266,VIL - Mang Thit - SOU - SUB 2,South,VIL,MT,Non-Metro,2021-03
1259,LAD - Bao Lam - SOU - SUB 2,South,LAD,MTTN,Non-Metro,2021-03
1267,VIL - Tam Binh - SOU - SUB 2,South,VIL,MT,Non-Metro,2021-03
1261,BID - An Nhon - SOU - SUB 2,South,BID,MTTN,Non-Metro,2021-03
